business_id,date
XQfwVwDr-v0ZS3_CbbE5Xw,4/15/2017 15:45
XQfwVwDr-v0ZS3_CbbE5Xw,4/17/2017 15:27
XQfwVwDr-v0ZS3_CbbE5Xw,4/20/2017 13:45
XQfwVwDr-v0ZS3_CbbE5Xw,4/20/2017 14:14
XQfwVwDr-v0ZS3_CbbE5Xw,4/20/2017 14:34
XQfwVwDr-v0ZS3_CbbE5Xw,5/2/2017 15:11
XQfwVwDr-v0ZS3_CbbE5Xw,5/12/2017 16:49
XQfwVwDr-v0ZS3_CbbE5Xw,5/14/2017 12:29
XQfwVwDr-v0ZS3_CbbE5Xw,5/17/2017 16:42
XQfwVwDr-v0ZS3_CbbE5Xw,5/20/2017 16:30
XQfwVwDr-v0ZS3_CbbE5Xw,5/20/2017 19:38
XQfwVwDr-v0ZS3_CbbE5Xw,5/21/2017 14:05
XQfwVwDr-v0ZS3_CbbE5Xw,5/28/2017 13:27
XQfwVwDr-v0ZS3_CbbE5Xw,6/3/2017 14:58
XQfwVwDr-v0ZS3_CbbE5Xw,6/3/2017 16:25
XQfwVwDr-v0ZS3_CbbE5Xw,6/11/2017 16:42
XQfwVwDr-v0ZS3_CbbE5Xw,6/17/2017 14:03
XQfwVwDr-v0ZS3_CbbE5Xw,6/17/2017 16:33
XQfwVwDr-v0ZS3_CbbE5Xw,6/18/2017 13:51
XQfwVwDr-v0ZS3_CbbE5Xw,6/20/2017 13:58
XQfwVwDr-v0ZS3_CbbE5Xw,7/1/2017 15:39
XQfwVwDr-v0ZS3_CbbE5Xw,7/2/2017 17:07
XQfwVwDr-v0ZS3_CbbE5Xw,7/4/2017 15:33
XQfwVwDr-v0ZS3_CbbE5Xw,7/22/2017 15:23
XQfwVwDr-v0ZS3_CbbE5Xw,8/7/2017 16:47
XQfwVwDr-v0ZS3_CbbE5Xw,8/30/2017 16:08
XQfwVwDr-v0ZS3_CbbE5Xw,9/1/2017 12:24
XQfwVwDr-v0ZS3_CbbE5Xw,9/3/2017 14:25
XQfwVwDr-v0ZS3_CbbE5Xw,9/10/2017 14:27
XQfwVwDr-v0ZS3_CbbE5Xw,9/23/2017 13:12
XQfwVwDr-v0ZS3_CbbE5Xw,10/4/2017 13:29
XQfwVwDr-v0ZS3_CbbE5Xw,10/7/2017 13:45
XQfwVwDr-v0ZS3_CbbE5Xw,10/9/2017 15:03
XQfwVwDr-v0ZS3_CbbE5Xw,10/22/2017 13:12
XQfwVwDr-v0ZS3_CbbE5Xw,10/29/2017 13:24
XQfwVwDr-v0ZS3_CbbE5Xw,12/16/2017 15:39
XQfwVwDr-v0ZS3_CbbE5Xw,12/16/2017 15:41
XQfwVwDr-v0ZS3_CbbE5Xw,12/24/2017 15:31
XQfwVwDr-v0ZS3_CbbE5Xw,12/26/2017 14:34
XQfwVwDr-v0ZS3_CbbE5Xw,1/7/2018 16:51
XQfwVwDr-v0ZS3_CbbE5Xw,2/20/2018 13:14
XQfwVwDr-v0ZS3_CbbE5Xw,3/25/2018 17:02
XQfwVwDr-v0ZS3_CbbE5Xw,5/8/2018 17:37
XQfwVwDr-v0ZS3_CbbE5Xw,5/13/2018 11:46
XQfwVwDr-v0ZS3_CbbE5Xw,5/24/2018 13:20
XQfwVwDr-v0ZS3_CbbE5Xw,6/25/2018 16:34
XQfwVwDr-v0ZS3_CbbE5Xw,7/1/2018 12:31
XQfwVwDr-v0ZS3_CbbE5Xw,7/8/2018 16:49
XQfwVwDr-v0ZS3_CbbE5Xw,7/18/2018 14:19
XQfwVwDr-v0ZS3_CbbE5Xw,8/19/2018 18:01
XQfwVwDr-v0ZS3_CbbE5Xw,8/26/2018 15:29
XQfwVwDr-v0ZS3_CbbE5Xw,8/31/2018 13:38
XQfwVwDr-v0ZS3_CbbE5Xw,10/7/2018 17:21
XQfwVwDr-v0ZS3_CbbE5Xw,11/17/2018 16:41
XQfwVwDr-v0ZS3_CbbE5Xw,11/24/2018 18:15
XQfwVwDr-v0ZS3_CbbE5Xw,12/1/2018 13:49
XQfwVwDr-v0ZS3_CbbE5Xw,12/8/2018 12:48
XQfwVwDr-v0ZS3_CbbE5Xw,12/22/2018 16:03
XQfwVwDr-v0ZS3_CbbE5Xw,12/26/2018 14:56
XQfwVwDr-v0ZS3_CbbE5Xw,12/27/2018 14:33
XQfwVwDr-v0ZS3_CbbE5Xw,12/29/2018 20:07
XQfwVwDr-v0ZS3_CbbE5Xw,1/1/2019 15:15
XQfwVwDr-v0ZS3_CbbE5Xw,1/1/2019 15:35
XQfwVwDr-v0ZS3_CbbE5Xw,1/5/2019 14:40
XQfwVwDr-v0ZS3_CbbE5Xw,1/19/2019 15:45
XQfwVwDr-v0ZS3_CbbE5Xw,1/19/2019 15:46
XQfwVwDr-v0ZS3_CbbE5Xw,1/19/2019 16:15
XQfwVwDr-v0ZS3_CbbE5Xw,1/20/2019 15:36
XQfwVwDr-v0ZS3_CbbE5Xw,1/27/2019 13:55
XQfwVwDr-v0ZS3_CbbE5Xw,2/10/2019 18:06
XQfwVwDr-v0ZS3_CbbE5Xw,2/25/2019 18:19
XQfwVwDr-v0ZS3_CbbE5Xw,3/9/2019 14:51
XQfwVwDr-v0ZS3_CbbE5Xw,3/10/2019 17:01
XQfwVwDr-v0ZS3_CbbE5Xw,3/15/2019 22:32
XQfwVwDr-v0ZS3_CbbE5Xw,3/17/2019 13:50
XQfwVwDr-v0ZS3_CbbE5Xw,3/23/2019 14:24
XQfwVwDr-v0ZS3_CbbE5Xw,3/23/2019 17:35
XQfwVwDr-v0ZS3_CbbE5Xw,4/7/2019 13:05
XQfwVwDr-v0ZS3_CbbE5Xw,4/7/2019 16:46
XQfwVwDr-v0ZS3_CbbE5Xw,4/10/2019 12:54
XQfwVwDr-v0ZS3_CbbE5Xw,4/14/2019 14:00
XQfwVwDr-v0ZS3_CbbE5Xw,4/21/2019 12:07
XQfwVwDr-v0ZS3_CbbE5Xw,5/5/2019 14:40
XQfwVwDr-v0ZS3_CbbE5Xw,5/11/2019 18:01
XQfwVwDr-v0ZS3_CbbE5Xw,5/23/2019 16:52
XQfwVwDr-v0ZS3_CbbE5Xw,5/24/2019 14:46
XQfwVwDr-v0ZS3_CbbE5Xw,5/26/2019 14:21
XQfwVwDr-v0ZS3_CbbE5Xw,5/26/2019 14:40
XQfwVwDr-v0ZS3_CbbE5Xw,6/1/2019 13:42
XQfwVwDr-v0ZS3_CbbE5Xw,6/11/2019 14:41
XQfwVwDr-v0ZS3_CbbE5Xw,6/15/2019 12:52
XQfwVwDr-v0ZS3_CbbE5Xw,6/16/2019 12:11
XQfwVwDr-v0ZS3_CbbE5Xw,7/11/2019 15:02
XQfwVwDr-v0ZS3_CbbE5Xw,7/21/2019 15:24
XQfwVwDr-v0ZS3_CbbE5Xw,7/21/2019 16:31
XQfwVwDr-v0ZS3_CbbE5Xw,8/10/2019 17:13
XQfwVwDr-v0ZS3_CbbE5Xw,8/18/2019 14:40
XQfwVwDr-v0ZS3_CbbE5Xw,9/1/2019 13:17
XQfwVwDr-v0ZS3_CbbE5Xw,9/2/2019 13:25
XQfwVwDr-v0ZS3_CbbE5Xw,9/2/2019 13:26
